months,Miami COM TRACKING,Miami ADM TRACKING,Miami RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,438.07495140913505,82.64480077745385,26.048408649173954,1125,568,655,2348
feb,363.9962342079689,76.79549319727892,21.632349368318753,991,503,489,1983
mar,485.93264091350824,88.32738095238095,16.014395043731778,1100,444,394,1938
apr,279.58618804664724,60.23906705539358,20.556851311953356,694,425,626,1745
may,256.216472303207,57.29124149659864,24.409499514091348,576,438,653,1667
jun,342.6772351797862,68.02277696793003,25.13854470359572,917,472,645,2034
