months,surat COM TRACKING,surat ADM TRACKING,surat RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,2.5791879251700682,90.53422619047619,29.168686224489793,0,197,479,676
nov,4.275935374149659,133.50201955782313,36.32546768707483,0,646,459,1105
dec,4.388392857142857,137.77774234693877,33.660714285714285,0,640,454,1094
jan,5.684311224489796,157.9357993197279,35.460884353741505,14,718,481,1213
feb,5.02093962585034,159.42559523809524,37.234587585034014,5,689,419,1113
mar,3.803252551020409,128.7107780612245,33.785076530612244,0,602,476,1078
apr,4.27062074829932,135.80601615646256,31.39041241496599,0,634,446,1080
may,3.937393707482993,132.84002976190476,28.4859693877551,0,600,418,1018
