months,Taipei COM TRACKING,Taipei ADM TRACKING,Taipei RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,1.0720964402591329,54.1576838308956,46.549789621318375,8,876,2409,3293
feb,1.7375943364723168,98.17337874841381,69.93561744473385,8,569,1612,2189
mar,1.019969278033794,69.90973752754958,61.9315100514259,4,821,1997,2822
apr,0.1722099779603286,20.839544513457557,28.106925799772927,0,0,1950,1950
may,0.8449876444266345,61.24220263140319,51.24136779536499,3,761,2178,2942
jun,1.5008682294797302,99.7048687637748,80.30932344887464,7,554,1762,2323
