months,salem COM TRACKING,salem ADM TRACKING,salem RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,0.0,6.44891289849273,18.312058156595974,0,2,577,579
nov,0.0,6.617580365479526,19.7015472855809,0,1,658,659
dec,0.0,6.747765772975856,19.822128851540615,0,7,659,666
jan,0.0,12.095838335334133,29.651593970921702,0,108,904,1012
feb,0.0,12.237494997999198,31.646792050153397,0,103,848,951
mar,0.0,7.751700680272108,24.838802187541685,0,12,858,870
apr,0.0,5.199946645324796,16.627717753768177,0,2,527,529
may,0.0,5.727424303054555,18.763638788848873,0,1,643,644
