months,HK COM TRACKING,HK ADM TRACKING,HK RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,6.415504614767256,73.79684991974318,86.5317014446228,35,438,3267,3740
nov,4.0595656099518465,56.21405999197431,68.75130417335473,31,621,3374,4026
dec,4.233497191011236,51.616046348314605,67.68275983146067,31,649,3529,4209
jan,3.7169191412520064,42.746990369181376,52.97639947833067,38,827,3934,4799
feb,9.980387239165328,111.9341643258427,100.06809289727127,38,165,2824,3027
mar,5.196704454253612,56.25943017656501,68.31691412520064,34,601,3538,4173
apr,3.2117275280898876,39.40153491171749,63.326645264847514,17,592,3833,4442
may,2.7479935794542536,37.74490870786517,46.28869883627608,9,552,3257,3818
jun,8.712680577849117,95.92954955858748,90.25122893258427,37,261,3046,3344
