months,HYD COM TRACKING,HYD ADM TRACKING,HYD RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,88.26686605908411,154.70215287379025,34.017776022121275,616,2389,1645,4650
feb,86.65604807990745,159.95634999012444,38.49214186958607,561,2252,1461,4274
mar,45.72921192968596,96.42899466719336,29.92466352529556,65,1428,1614,3107
apr,53.182133686972726,108.66733444315906,31.450749132360826,166,1721,1613,3500
may,58.880420981349296,115.2188990152648,33.93307186591801,234,1907,1624,3765
