months,Seoul COM TRACKING,Seoul ADM TRACKING,Seoul RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,32.128628946810764,196.28939242575606,47.06367874549693,513,5799,3126,9438
feb,34.43392970665699,210.21554203372386,38.72833227378681,433,4582,2946,7961
mar,50.50896073623346,283.38936820755,44.4991674991675,504,3157,2578,6239
apr,53.50774982593165,305.5251263887627,51.5645263827082,507,2904,2222,5633
may,25.90187085641631,160.44242121514847,38.17287258196349,146,4551,3090,7787
jun,31.10029364574819,183.45509036418125,33.74732842914661,339,4640,3050,8029
