months,delhi COM TRACKING,delhi ADM TRACKING,delhi RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,35.06406659184437,132.01823793490462,52.23061300839079,959,4905,8413,14277
nov,31.503139864250976,102.88930308374754,47.16791593180482,731,6500,8929,16160
dec,20.998764095986317,64.84384853829297,21.46856127411683,89,3733,6544,10366
jan,37.56220939554273,105.38270936882049,39.34765645876757,1270,7000,9790,18060
feb,30.42432259098926,99.0723037250815,40.531933087488646,533,6317,9035,15885
mar,28.998964512853398,88.51529180695847,38.19818555929667,477,5790,9480,15747
apr,27.779614932392708,88.4134733579178,37.281826198492865,428,5840,9303,15571
may,28.720859387526055,90.38739912351024,33.33092165036609,513,5750,8666,14929
