months,Tokyo COM TRACKING,Tokyo ADM TRACKING,Tokyo RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,4.221594021870137,45.25971993951745,61.089965595073735,175,5770,19913,25858
feb,4.63070146604431,56.04118072447571,67.12913461749174,166,4891,16282,21339
mar,4.58864856573094,62.11774373808428,81.2345670896062,162,5197,15600,20959
apr,5.339092323537791,63.952893739179984,76.23150789998465,171,4724,15857,20752
may,2.390406065785725,35.03116165932549,49.86778427892095,45,2751,18376,21172
jun,2.9975631670063327,37.22836982008634,49.39229504963513,91,3153,18031,21275
