months,karnataka COM TRACKING,karnataka ADM TRACKING,karnataka RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
feb2013,0.8264370474652328,1.033734683163402,1.5305131594691446,1228,3347,22879,27454
feb_2014,0.9513964706939817,1.252426018598617,1.624383190138599,1163,2255,17169,20587
feb_2015,1.0456960283141419,1.433402998473111,1.808862224471558,1165,1967,16886,20018
feb_2016,0.8651232417448097,1.24205568363916,1.6431232176993156,1110,2384,16884,20378
feb_2017,0.9102987853017911,1.3431278645864646,1.8352447831296814,1115,2222,16677,20014
feb_2018,0.9079940676331049,1.382826879885314,1.8782200208508775,1135,2102,16180,19417
feb_2019,0.8595939231311356,1.357895280728281,1.9436103107078593,1095,2266,16005,19366
