months,pune COM TRACKING,pune ADM TRACKING,pune RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,0.0,68.42867940827125,47.46730914588057,0,1363,2742,4105
feb,0.0,69.3443472627146,49.3147608249649,0,1273,2515,3788
mar,0.0,46.05477270273189,40.62271892884138,0,435,2685,3120
apr,0.0,58.8593564409891,45.923334413130334,0,1022,2649,3671
may,0.0,59.17090486988445,48.870208400820644,0,1104,2662,3766
