months,ahm COM TRACKING,ahm ADM TRACKING,ahm RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,2.5562770562770565,63.68389724310777,31.604294827979036,2,702,2407,3111
nov,4.040100250626566,94.20221007063112,39.60879471405787,13,1558,2310,3881
dec,4.892173615857826,104.85685805422648,39.52076213260423,23,1652,2151,3826
jan,5.573536113009797,108.5942697653224,41.89308498519025,43,1804,2443,4290
feb,5.718130553656869,120.14915128730918,47.43799840510366,34,1688,2120,3842
mar,2.6375882889040785,68.0150660742766,34.01694577352472,3,885,2428,3316
apr,4.159518113465482,95.93540669856458,39.33415926179084,12,1600,2260,3872
may,4.498205741626794,98.20297903850535,35.29955570745045,17,1581,2032,3630
