months,NY COM TRACKING,NY ADM TRACKING,NY RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,71.93312810405223,74.19873252217356,23.009132865631738,1553,5609,8722,15884
nov,88.41085698673979,88.17847629455443,22.001892923004867,2611,7254,7576,17441
dec,99.77710343750915,106.00346873261977,28.657707806843796,3377,8887,8161,20425
jan,105.3598456389591,114.04450320528457,31.704918672612138,4217,10426,9044,23687
feb,92.93108882102122,100.29992096558588,30.031628401650945,3094,8789,8682,20565
mar,81.90008488881516,92.85906505215297,30.95243299150136,2541,8176,8606,19323
apr,70.17911540000195,79.57637554031243,23.575999882911976,1534,6688,7980,16202
may,76.73082439724062,79.54656688165328,21.58750865963488,1856,6488,7798,16142
jun,78.88982505098208,79.48263682223111,20.095895089133254,2076,6196,7397,15669
