months,jaipur COM TRACKING,jaipur ADM TRACKING,jaipur RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,4.930405932864949,181.7717408274785,72.5376268540203,21,717,1552,2290
nov,3.1167056986729116,94.80437158469945,45.26174863387978,2,1186,1885,3073
dec,4.2995316159250585,117.56334894613583,42.21030444964871,18,1243,1669,2930
jan,4.758313817330211,111.5596018735363,46.30062451209992,30,1333,1942,3305
feb,4.142740046838408,115.18021077283373,49.64711163153786,13,1281,1812,3106
mar,2.136612021857924,60.33036690085871,27.031459797033566,0,359,1675,2034
apr,2.3772833723653397,70.36405152224825,33.25148321623732,0,689,1766,2455
may,3.7571038251366122,97.30378610460578,37.84285714285715,7,1133,1769,2909
