months,bom COM TRACKING,bom ADM TRACKING,bom RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,18.37802050946381,49.418371243113505,35.33953799159985,48,1357,5345,6750
nov,27.483717885779743,68.39960726558664,40.65131184203349,133,2173,5367,7673
dec,25.84500627284132,63.97089947089947,34.08563792068947,118,1959,5021,7098
jan,37.270823105874655,85.88579337806142,41.75785468826706,590,2635,5581,8806
feb,34.75609556537392,86.17112583865162,43.08520154911908,442,2330,5242,8014
mar,29.190598919980367,70.1487208858343,35.55548737249768,173,2154,5210,7537
apr,31.08768341242568,75.62476135929744,34.39270714012982,251,2264,4533,7048
may,27.699803632793323,68.63453880979654,32.71829487808869,157,2116,4614,6887
