months,mysore COM TRACKING,mysore ADM TRACKING,mysore RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,28.08041539076022,53.90054586606311,27.324058048195976,0,101,416,517
nov,43.06310744241779,79.73225935294901,35.29769671148981,20,281,421,722
dec,45.02210091865265,81.06790041272801,33.123818399680474,29,273,419,721
jan,65.04540007988284,107.56916522433764,37.38250565836773,107,358,430,895
feb,52.935028624683795,91.652775928638,33.56610304886167,55,296,420,771
mar,48.17121555052589,85.34496072427108,34.6935161762748,41,289,427,757
apr,31.31287445080548,57.164824923445615,24.613500199707094,3,117,412,532
may,14.72333910264945,29.48821728132073,14.261749434163228,0,0,336,336
