months,bhopal COM TRACKING,bhopal ADM TRACKING,bhopal RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,2.6208645620410325,30.503141797259442,35.625104095692336,0,11,1005,1016
nov,5.402755696873344,62.943069119539715,48.031266560678326,1,376,916,1293
dec,6.216973275796806,66.45385721856309,48.35907335907336,4,416,898,1318
jan,9.105836929366342,70.53857218563101,50.19577560754032,28,457,1023,1508
feb,7.077901430842608,77.41774547656901,56.39033991975169,11,419,894,1324
mar,4.051252933605875,44.826633356045114,38.46937693996518,0,182,978,1160
apr,4.489136195018548,50.057915057915054,39.55189643424937,0,249,919,1168
may,5.3839806192747375,57.93739117268528,42.16360057536527,1,323,915,1239
