months,blr COM TRACKING,blr ADM TRACKING,blr RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
jan,214.1215784389011,94.14803438281851,30.141271767940744,1806,1561,1987,5354
feb,208.42039683915877,93.43139537764127,32.18016299635859,1640,1336,1902,4878
mar,171.8494389259085,83.41455076915454,34.0509549406723,1104,1436,1897,4437
apr,147.68302410265304,71.87921424855705,31.16542396393272,650,1325,1949,3924
may,123.97815155193341,64.60866011048081,30.812529416136147,159,1218,1964,3341
